,HeadwayRew,SD,Reward,Action
51,-12.395999999999844,-58.48315046993356,-70.8791504699334,0
52,-64.1549999999999,-93.2962783585474,-157.4512783585473,0
53,-62.56499999999998,-100.8599634256439,-163.42496342564388,0
54,-150.82800000000006,-136.06658500732485,-286.8945850073249,0
55,-20.802000000000042,-153.87261686935148,-174.67461686935152,0
56,-100.81200000000005,-123.54739531406108,-224.35939531406115,0
57,-12.395999999999775,-164.11189949408165,-176.50789949408144,0
58,-94.0079999999999,-502.562989971296,-596.570989971296,0
59,-90.81000000000007,-533.5022513750267,-624.3122513750268,0
60,-150.82800000000006,-469.3423862763255,-620.1703862763255,0
61,-0.9555000000000518,-447.64753992398977,-448.6030399239898,0
62,-82.563,-463.4543774742019,-546.0173774742019,0
63,-12.40199999999977,-565.3322523574572,-577.734252357457,0
64,-94.0139999999999,-680.4627926802627,-774.4767926802626,0
65,-100.81800000000005,-708.3829723783285,-809.2009723783286,0
66,-150.82800000000006,-747.7797774449077,-898.6077774449078,0
67,-84.16499999999992,-542.7308725326025,-626.8958725326024,0
68,-10.65299999999986,-558.7504899326711,-569.403489932671,0
69,-12.395999999999844,-678.6740012701239,-691.0700012701237,0
70,-84.00599999999993,-603.4528647707292,-687.4588647707292,0
71,-70.81800000000005,-616.828262610879,-687.6462626108791,0
72,-120.82199999999993,-633.4050512025374,-754.2270512025373,0
73,-74.15549999999992,-173.41173547369857,-247.56723547369847,0
74,-10.646999999999865,-183.46595203349193,-194.1129520334918,0
75,-12.395999999999775,-250.68358985426676,-263.07958985426654,0
76,-54.15299999999993,-805.34430456103,-859.4973045610299,0
77,-92.56050000000002,-827.6004323074969,-920.160932307497,0
78,-90.81600000000007,-737.299905058993,-828.115905058993,0
79,-94.0079999999999,-324.45222897814847,-418.4602289781484,0
80,-12.395999999999775,-123.23608328011005,-135.63208328010984,0
81,-12.40199999999977,-159.25430048266273,-171.6563004826625,0
82,-114.01799999999992,-650.6391549853114,-764.6571549853113,0
83,-50.808000000000035,-732.5268133128112,-783.3348133128112,0
84,-104.01599999999993,-775.0369876478298,-879.0529876478298,0
85,-40.80600000000006,-793.3544387948905,-834.1604387948905,0
86,-12.40199999999977,-840.8605248328776,-853.2625248328774,0
87,-12.395999999999844,-739.1466701541718,-751.5426701541717,0
88,-94.00799999999983,-426.85013243005506,-520.8581324300549,0
89,-50.81400000000003,-456.5204486110124,-507.3344486110124,0
90,-94.0079999999999,-502.68124094698425,-596.6892409469841,0
91,-12.395999999999844,-330.7070590248852,-343.10305902488506,0
92,-12.395999999999775,-126.39676507815469,-138.79276507815447,0
93,-74.00399999999988,-532.3605075510392,-606.3645075510391,0
94,-104.00999999999995,-590.0299531003114,-694.0399531003114,0
95,-40.80600000000006,-630.0406574182336,-670.8466574182337,0
96,-12.395999999999775,-588.2867630293543,-600.6827630293541,0
97,-12.40199999999977,-451.5068105798627,-463.90881057986246,0
98,-47.00399999999995,-493.2727530371903,-540.2767530371902,0
99,-104.01599999999993,-509.4173523633533,-613.4333523633533,0
100,-30.804000000000087,-408.1511484732096,-438.9551484732097,0
101,-12.40199999999977,-332.6750099154162,-345.07700991541594,0
102,-12.395999999999844,-338.71787670567375,-351.1138767056736,0
103,-84.15899999999992,-642.1890064459217,-726.3480064459216,0
104,-52.56299999999994,-660.5435564745144,-713.1065564745144,0
105,-94.0079999999999,-703.0847333161361,-797.092733316136,0
106,-12.395999999999844,-619.5961265211396,-631.9921265211394,0
107,-20.801999999999975,-639.0678072178431,-659.8698072178431,0
108,-12.395999999999775,-158.722745691977,-171.11874569197678,0
109,-67.00499999999997,-725.2015712123692,-792.2065712123692,0
110,-84.00599999999986,-829.6160209532011,-913.622020953201,0
111,-12.395999999999775,-876.1452562218209,-888.5412562218206,0
