,HeadwayRew,SD,Reward,Action
116,-184.02599999999995,-478.8058850469109,-662.8318850469109,0
117,-23.195999999999774,-505.4196177435142,-528.615617743514,0
118,-113.2139999999999,-537.8883764830354,-651.1023764830353,0
119,-94.16699999999989,-583.4601957288946,-677.6271957288945,0
120,-10.65299999999986,-521.7321918379199,-532.3851918379198,0
121,-12.395999999999844,-659.037385552258,-671.4333855522578,0
122,-184.03199999999995,-581.7185879405571,-765.750587940557,0
123,-23.195999999999774,-585.7957626643911,-608.9917626643909,0
124,-133.21199999999985,-619.4327727849085,-752.6447727849084,0
125,-97.01699999999995,-220.1007849953188,-317.11778499531874,0
126,-12.395999999999775,-299.5147835342282,-311.91078353422796,0
127,-134.01599999999988,-740.3659635612648,-874.3819635612647,0
128,-23.18999999999985,-852.5921123257006,-875.7821123257004,0
129,-143.21999999999989,-896.7884644663981,-1040.008464466398,0
130,-53.207999999999835,-580.6643886292858,-633.8723886292856,0
131,-73.21199999999985,-198.01726916834525,-271.2292691683451,0
132,-12.40199999999977,-273.2508900056666,-285.65289000566634,0
133,-134.01599999999993,-709.4572573453597,-843.4732573453597,0
134,-6.197999999999888,-817.8830906676088,-824.0810906676087,0
135,-73.21199999999985,-493.9976113302573,-567.2096113302572,0
136,-53.207999999999835,-170.25803619473854,-223.46603619473836,0
137,-12.395999999999844,-213.9525466598195,-226.34854665981933,0
138,-144.02399999999992,-610.4723271551482,-754.496327155148,0
139,-204.02999999999997,-645.2680683250954,-849.2980683250954,0
140,-12.40199999999977,-492.157842792556,-504.55984279255574,0
141,-63.20999999999981,-509.1130970182909,-572.3230970182907,0
142,-43.205999999999854,-391.43718525454375,-434.6431852545436,0
143,-12.395999999999775,-458.45666098334755,-470.85266098334733,0
144,-214.03199999999995,-718.0719269141651,-932.1039269141651,0
145,-184.03199999999987,-844.1403569444019,-1028.1723569444018,0
146,-63.20999999999981,-880.1021657865764,-943.3121657865762,0
147,-13.352999999999861,-817.4109261700767,-830.7639261700765,0
148,-10.651499999999828,-836.7383236246695,-847.3898236246694,0
149,-134.01599999999993,-566.3353070399196,-700.3513070399196,0
150,-114.01199999999984,-640.9608793747782,-754.972879374778,0
151,-63.20999999999981,-676.5787824702228,-739.7887824702226,0
152,-23.20199999999977,-794.3520315326197,-817.5540315326194,0
153,-12.395999999999844,-834.5287286180679,-846.9247286180678,0
154,-134.02199999999985,-533.8978543587613,-667.9198543587611,0
155,-114.16500000000005,-624.7021930488158,-738.8671930488159,0
156,-10.651499999999828,-643.746626312627,-654.3981263126268,0
157,-53.207999999999835,-682.7316529940589,-735.9396529940587,0
158,-33.203999999999816,-697.5719118644487,-730.7759118644485,0
159,-12.395999999999775,-740.9568490959659,-753.3528490959657,0
160,-124.0139999999999,-317.5154169485318,-441.5294169485317,0
161,-134.02199999999993,-238.76304152862522,-372.78504152862513,0
162,-53.207999999999835,-262.0901180891794,-315.29811808917924,0
163,-12.395999999999844,-274.24461708482085,-286.6406170848207,0
164,-43.20599999999979,-326.249030649901,-369.4550306499008,0
165,-12.40199999999977,-306.82652898484656,-319.2285289848463,0
166,-144.01799999999997,-674.6436096191826,-818.6616096191826,0
167,-73.21199999999985,-712.5127078788763,-785.7247078788762,0
168,-12.395999999999775,-694.4467214184893,-706.8427214184891,0
169,-43.205999999999854,-733.448063752453,-776.6540637524529,0
170,-12.395999999999844,-633.493190351895,-645.8891903518949,0
171,-144.02399999999992,-706.8817157063833,-850.9057157063831,0
172,-204.0299999999999,-552.7017640644907,-756.7317640644906,0
173,-83.21399999999983,-587.4087011802109,-670.6227011802107,0
174,-12.40199999999977,-461.8658054264488,-474.26780542644855,0
175,-43.205999999999854,-505.11012220658927,-548.3161222065892,0
176,-12.395999999999775,-118.65027976742782,-131.0462797674276,0
177,-164.02199999999993,-530.5313939815437,-694.5533939815436,0
178,-204.03599999999997,-458.40299955388605,-662.438999553886,0
179,-93.2159999999998,-491.6249643331343,-584.8409643331341,0
180,-12.395999999999844,-437.23041980173343,-449.6264198017333,0
181,-33.203999999999816,-496.2776227968464,-529.4816227968462,0
182,-12.40199999999977,-0.0,-12.40199999999977,0
183,-154.01999999999995,-54.59690670928366,-208.61690670928363,0
184,-83.21399999999983,-40.89297684878854,-124.10697684878838,0
185,-124.0139999999999,-50.66934203462901,-174.6833420346289,0
186,-12.395999999999775,-59.845012787663066,-72.24101278766284,0
187,-53.207999999999835,-37.63379096267372,-90.84179096267356,0
188,-12.395999999999844,-64.36792679588181,-76.76392679588166,0
189,-174.02999999999997,-369.58306087926826,-543.6130608792682,0
