,Bus,Headway,Time
182,bus.5,25.89999999999992,23:24:36
183,bus.0,16.851,23:24:36
184,bus.1,38.84999999999988,23:24:39
185,bus.2,16.851,23:24:40
186,bus.5,22.199999999999932,23:24:41
187,bus.0,17.829999999998222,23:24:41
188,bus.1,44.399999999999864,23:24:44
189,bus.2,16.851,23:24:45
190,bus.5,20.349999999999937,23:24:46
191,bus.0,16.851,23:24:46
192,bus.1,64.7499999999998,23:24:49
193,bus.2,25.239999999998076,23:24:50
194,bus.5,20.349999999999937,23:24:50
195,bus.0,16.851,23:24:51
196,bus.1,77.69999999999976,23:24:55
197,bus.5,20.349999999999937,23:24:55
198,bus.2,52.97999999999834,23:24:55
199,bus.0,16.851,23:24:56
200,bus.1,81.39999999999975,23:24:59
201,bus.2,58.529999999998296,23:25:00
202,bus.0,16.851,23:25:01
203,bus.1,86.94999999999973,23:25:04
204,bus.2,45.58999999999824,23:25:05
205,bus.5,16.851,23:25:06
206,bus.0,16.851,23:25:06
207,bus.1,45.589999999998156,23:25:09
208,bus.2,16.851,23:25:10
209,bus.5,16.851,23:25:10
210,bus.0,16.851,23:25:11
211,bus.1,20.349999999999937,23:25:14
212,bus.2,16.851,23:25:15
213,bus.5,16.851,23:25:15
214,bus.0,16.851,23:25:16
215,bus.1,16.851,23:25:20
216,bus.2,16.851,23:25:20
217,bus.5,20.349999999999937,23:25:20
218,bus.0,16.851,23:25:21
219,bus.1,68.44999999999979,23:25:25
220,bus.5,24.049999999999926,23:25:26
221,bus.2,30.779999999998182,23:25:26
222,bus.0,16.851,23:25:26
223,bus.1,88.79999999999973,23:25:30
224,bus.5,16.851,23:25:30
225,bus.0,16.851,23:25:31
226,bus.2,36.32999999999805,23:25:31
227,bus.5,24.049999999999926,23:25:35
228,bus.1,66.5999999999998,23:25:35
229,bus.0,16.851,23:25:35
230,bus.2,28.93999999999818,23:25:36
231,bus.5,22.199999999999932,23:25:40
232,bus.0,19.679999999998216,23:25:40
233,bus.1,46.24999999999986,23:25:40
234,bus.2,16.851,23:25:41
235,bus.5,22.199999999999932,23:25:45
236,bus.0,17.82999999999811,23:25:45
237,bus.1,49.94999999999985,23:25:45
238,bus.2,16.851,23:25:46
239,bus.5,20.349999999999937,23:25:49
240,bus.0,16.851,23:25:50
241,bus.1,68.44999999999979,23:25:50
242,bus.2,32.639999999998054,23:25:51
243,bus.5,16.851,23:25:54
244,bus.0,16.851,23:25:55
245,bus.1,85.09999999999974,23:25:55
246,bus.2,54.829999999998364,23:25:56
247,bus.5,31.449999999999903,23:26:00
248,bus.0,16.851,23:26:00
249,bus.1,86.94999999999973,23:26:00
250,bus.2,62.22999999999834,23:26:01
251,bus.5,24.049999999999926,23:26:04
252,bus.0,16.851,23:26:05
253,bus.1,90.64999999999972,23:26:05
254,bus.2,64.08999999999847,23:26:07
255,bus.5,24.049999999999926,23:26:10
256,bus.0,16.851,23:26:10
257,bus.1,66.5999999999998,23:26:11
258,bus.2,28.929999999998074,23:26:11
259,bus.5,22.199999999999932,23:26:15
260,bus.0,16.851,23:26:15
261,bus.1,31.449999999999903,23:26:16
262,bus.2,16.851,23:26:16
263,bus.5,25.89999999999992,23:26:20
264,bus.0,16.851,23:26:20
265,bus.1,16.851,23:26:21
266,bus.2,16.851,23:26:22
267,bus.5,27.749999999999915,23:26:25
268,bus.0,16.851,23:26:25
269,bus.1,64.7499999999998,23:26:26
270,bus.2,16.851,23:26:27
271,bus.5,24.049999999999926,23:26:30
272,bus.0,16.851,23:26:30
273,bus.1,64.7499999999998,23:26:31
274,bus.2,21.529999999998097,23:26:32
275,bus.5,24.049999999999926,23:26:34
276,bus.0,16.851,23:26:35
277,bus.1,48.09999999999985,23:26:36
278,bus.2,16.851,23:26:37
279,bus.5,22.199999999999932,23:26:39
280,bus.0,16.851,23:26:40
281,bus.1,42.54999999999987,23:26:42
282,bus.2,16.851,23:26:42
283,bus.5,20.349999999999937,23:26:44
284,bus.0,16.851,23:26:44
285,bus.1,59.19999999999982,23:26:47
