,HeadwayRew,SD,Reward,Action
51,-16.99499999999989,-707.3369776846112,-724.331977684611,0
52,-120.82800000000006,-552.0817169787659,-672.909716978766,0
53,-12.395999999999844,-69.05755248744019,-81.45355248744004,0
54,-194.18099999999984,-124.90584453899665,-319.0868445389965,0
55,-2.695500000000038,-133.5101494269256,-136.20564942692565,0
56,-12.554999999999904,-142.40341366070626,-154.95841366070616,0
57,-10.800000000000068,-120.30237828996661,-131.10237828996668,0
58,-120.81600000000007,-115.28941360284946,-236.10541360284952,0
59,-13.95599999999979,-175.62697843883655,-189.58297843883634,0
60,-204.18749999999991,-613.51661391975,-817.7041139197498,0
61,-12.548999999999978,-633.4276877083569,-645.9766877083568,0
62,-10.794000000000006,-647.2288312490414,-658.0228312490414,0
63,-20.80800000000004,-628.9694737337329,-649.7774737337329,0
64,-110.82000000000009,-405.85742844282436,-516.6774284428244,0
65,-13.961999999999785,-589.6194130303227,-603.5814130303224,0
66,-194.18099999999993,-536.6684720466527,-730.8494720466526,0
67,-2.7044999999999617,-553.8151035218242,-556.5196035218241,0
68,-42.55499999999997,-571.2442871097754,-613.7992871097754,0
69,-10.794000000000006,-511.28899742600464,-522.0829974260047,0
70,-90.82200000000007,-542.5242022251174,-633.3462022251175,0
71,-12.395999999999844,-715.4642773907179,-727.8602773907178,0
72,-16.99499999999989,-684.0966663337053,-701.0916663337052,0
73,-40.812000000000054,-722.3319520060628,-763.1439520060628,0
74,-87.00899999999992,-116.4817582284883,-203.49075822848823,0
75,-12.395999999999775,-206.4450290028801,-218.84102900287988,0
76,-204.03599999999997,-689.1142229138956,-893.1502229138955,0
77,-26.996999999999932,-624.9754626294452,-651.9724626294452,0
78,-0.9555000000000518,-123.30008110297413,-124.25558110297419,0
79,-82.563,-132.41357768580815,-214.97657768580814,0
80,-12.40199999999977,-229.8905512533205,-242.29255125332026,0
81,-54.00599999999986,-820.5246587126775,-874.5306587126773,0
82,-10.800000000000068,-890.4634018307547,-901.2634018307548,0
83,-87.01799999999992,-938.378191349309,-1025.396191349309,0
84,-12.395999999999844,-793.8017132760549,-806.1977132760547,0
85,-34.14749999999987,-431.95977693402074,-466.1072769340206,0
86,-132.57299999999995,-446.6257929059728,-579.1987929059727,0
87,-7.148999999999978,-476.70327481801746,-483.85227481801746,0
88,-102.5625,-498.75333805622006,-601.3158380562201,0
89,-12.395999999999775,-215.87774317886502,-228.2737431788648,0
90,-154.17749999999998,-677.050415815215,-831.227915815215,0
91,-7.14599999999998,-697.3155088544131,-704.4615088544131,0
92,-12.554999999999904,-717.8930739013684,-730.4480739013684,0
93,-100.81800000000005,-773.3771022096674,-874.1951022096675,0
94,-12.40199999999977,-833.5697391340451,-845.9717391340449,0
95,-184.179,-618.3343827484357,-802.5133827484357,0
96,-12.554999999999904,-636.1122228034925,-648.6672228034925,0
97,-0.95100000000009,-672.318155505429,-673.2691555054291,0
98,-2.695500000000038,-702.9220440418696,-705.6175440418697,0
99,-122.57699999999997,-722.4376789730725,-845.0146789730725,0
100,-12.395999999999844,-447.3645741699071,-459.76057416990693,0
101,-33.995999999999775,-723.9321024024898,-757.9281024024896,0
102,-0.9555000000000518,-764.8024988336676,-765.7579988336677,0
103,-22.550999999999952,-789.5650131559782,-812.1160131559782,0
104,-110.81400000000009,-709.4264999905831,-820.2404999905832,0
105,-12.395999999999775,-863.9683398263056,-876.3643398263054,0
106,-16.99499999999989,-700.5389322197273,-717.5339322197271,0
107,-30.81000000000008,-741.9363644470386,-772.7463644470387,0
108,-110.82000000000009,-532.9524514959619,-643.772451495962,0
109,-13.961999999999785,-589.0361194358119,-602.9981194358116,0
110,-47.00399999999995,-572.7312681839151,-619.735268183915,0
111,-30.79800000000009,-430.85064568698164,-461.64864568698175,0
