,HeadwayRew,SD,Reward,Action
61,-413.4360000000001,-581.8408974969017,-995.2768974969017,2
62,-563.964,-616.1871432897278,-1180.1511432897278,2
63,-699.438,-229.8400289089977,-929.2780289089977,2
64,-48.05399999999995,-324.435186131221,-372.48918613122095,2
65,-377.976,-391.64199071203916,-769.6179907120392,2
66,-126.14400000000013,-462.12322911631367,-588.2672291163138,2
67,-384.066,-522.5641736242121,-906.6301736242121,2
68,-160.82999999999996,-301.7018156318513,-462.53181563185126,2
69,-615.6527999999998,-205.00429263798355,-820.6570926379834,2
70,-377.976,-245.8641088080975,-623.8401088080975,2
71,-216.16200000000012,-318.40383163523643,-534.5658316352366,2
72,-384.0660000000001,-371.8422903448301,-755.9082903448302,2
73,-713.994,-579.209418086412,-1293.203418086412,2
74,-170.83200000000014,-595.9274331288631,-766.7594331288632,2
75,-594.757,-215.09893072723537,-809.8559307272353,2
76,-377.9820000000001,-234.0921376058771,-612.0741376058772,2
77,-244.24200000000016,-289.5153114354327,-533.7573114354328,2
78,-413.4360000000001,-364.4422527034367,-777.8782527034368,2
79,-683.9879999999999,-560.1052480461943,-1244.0932480461943,2
80,-79.49699999999993,-647.558082337021,-727.055082337021,2
81,-568.3199999999998,-684.2900254196966,-1252.6100254196963,2
82,-487.7550000000001,-340.10517817613754,-827.8601781761377,2
83,-248.92200000000005,-365.7859285915132,-614.7079285915132,2
84,-509.99700000000024,-368.462155451547,-878.4591554515473,2
85,-663.9780000000001,-648.6691837909367,-1312.6471837909367,2
86,-46.1280000000002,-218.0790580398667,-264.2070580398669,2
87,-554.3490666666667,-229.20566213677085,-783.5547288034375,2
88,-507.8490000000001,-264.4192042109566,-772.2682042109567,2
89,-253.79100000000014,-276.75857710286056,-530.5495771028607,2
90,-518.0400000000001,-289.3712494357378,-807.4112494357379,2
91,-673.9860000000001,-629.6829996117094,-1303.6689996117095,2
92,-39.246000000000045,-712.2089791627175,-751.4549791627176,2
93,-535.6367999999998,-731.3218868748716,-1266.9586868748713,2
94,-260.6103000000001,-785.4913168768252,-1046.1016168768253,2
95,-519.6060000000001,-826.6286362219871,-1346.2346362219873,2
96,-683.9879999999999,-1006.9516831617207,-1690.9396831617205,2
97,-715.7849999999997,-820.0408336716464,-1535.8258336716463,2
98,-29.528249999999932,-863.6854230563348,-893.2136730563348,2
99,-517.3467333333333,-885.9270624605617,-1403.273795793895,2
100,-706.8802499999999,-572.0036703456447,-1278.8839203456446,2
101,-825.74625,-678.0703495131526,-1503.8165995131526,2
102,-724.6618333333332,-716.3416960889236,-1441.0035294222569,2
103,-665.6627999999997,-825.0056881958789,-1490.6684881958786,2
104,-94.2095624999999,-845.9140086320831,-940.123571132083,2
105,-136.0206,-1007.6612851328345,-1143.6818851328344,2
106,-704.8404,-445.9002379705827,-1150.7406379705826,2
107,-675.6647999999998,-566.6902612734951,-1242.3550612734948,2
108,-17.435399999999845,-585.1103447688782,-602.5457447688781,2
109,-233.0345999999999,-894.7825881184771,-1127.817188118477,2
110,-630.5639999999999,-1047.8751749241044,-1678.4391749241042,2
111,-120.82199999999993,-686.0145771045977,-806.8365771045976,2
112,-565.6427999999999,-935.2275445045448,-1500.8703445045446,2
113,-580.0559999999999,-957.9535595331447,-1538.0095595331445,2
114,-313.0566000000001,-1051.9768818752625,-1365.0334818752626,2
115,-666.2909999999999,-1163.3949095451449,-1829.6859095451448,2
116,-124.26299999999986,-466.0497827485815,-590.3127827485814,2
117,-792.7298999999998,-564.0786548779247,-1356.8085548779245,2
118,-723.2310000000001,-581.3961319291884,-1304.6271319291886,2
119,-575.6447999999998,-638.5507854161292,-1214.195585416129,2
120,-355.254,-742.8932890320715,-1098.1472890320715,2
